,vaxView,year,value,lowerLimit,upperLimit,sampleSize,confidenceInterval,demographicClass,upperError,lowerError
0,0,2001,92.2,89.1,94.4,562.0,2.7,1,2.200000000000003,3.1000000000000085
1,0,2003,77.3,61.4,87.9,54.0,13.3,2,10.600000000000009,15.899999999999999
2,0,2010,75.7,68.5,81.7,332.0,6.6,1,6.0,7.200000000000003
3,0,2017,76.9,75.3,78.5,11392.0,1.6,3,1.5999999999999943,1.6000000000000085
4,1,2015,45.3,38.1,52.5,461.0,7.2,1,7.200000000000003,7.199999999999996
5,0,1997,70.3,58.4,80.0,86.0,10.9,3,9.700000000000003,11.899999999999999
6,0,1997,63.4,54.1,71.8,124.0,8.9,4,8.399999999999999,9.299999999999997
7,0,1998,72.9,61.1,82.1,77.0,10.6,4,9.199999999999989,11.800000000000004
8,2,2015,19.1,17.1,21.4,4048.0,2.1,1,2.299999999999997,2.0
9,0,2003,83.7,70.7,91.6,125.0,10.3,2,7.8999999999999915,13.0
10,0,2016,93.5,78.1,98.3,33.0,8.5,5,4.799999999999997,15.400000000000006
12,2,2013,90.5,76.4,96.5,45.0,9.3,4,6.0,14.099999999999994
13,0,1996,92.3,90.1,94.0,2082.0,1.9,1,1.7000000000000028,2.200000000000003
14,0,2016,41.8,34.0,50.0,239.0,8.1,3,8.200000000000003,7.799999999999997
15,2,2016,13.0,11.9,14.1,10814.0,1.1,5,1.0999999999999996,1.0999999999999996
17,2,2013,23.9,16.4,33.4,134.0,8.5,3,9.5,7.5
18,0,2010,69.6,62.7,75.7,294.0,6.5,1,6.1000000000000085,6.8999999999999915
19,0,2006,86.4,70.4,94.4,54.0,11.5,3,8.0,16.0
20,0,2015,94.6,77.5,98.9,34.0,8.3,4,4.300000000000011,17.099999999999994
21,0,2005,84.8,72.8,92.2,79.0,9.5,5,7.400000000000006,12.0
22,0,1999,17.4,12.8,23.2,315.0,5.2,3,5.800000000000001,4.599999999999998
23,2,2014,91.6,84.2,95.7,190.0,5.5,1,4.1000000000000085,7.3999999999999915
24,0,2014,92.6,84.3,96.6,156.0,5.8,6,4.0,8.299999999999997
25,3,2017,66.9,50.9,82.8,65.0,16.0,7,15.899999999999991,16.000000000000007
27,0,2016,94.0,92.9,94.9,11062.0,1.0,8,0.9000000000000057,1.0999999999999943
28,2,2016,61.5,38.6,80.3,33.0,22.1,3,18.799999999999997,22.9
29,0,2005,76.5,70.0,82.0,573.0,6.0,4,5.5,6.5
30,0,2001,67.7,56.1,77.4,83.0,10.8,4,9.700000000000003,11.600000000000001
31,0,2001,58.2,57.1,59.2,23642.0,1.1,1,1.0,1.1000000000000014
32,0,2000,91.5,88.7,93.7,858.0,2.5,1,2.200000000000003,2.799999999999997
33,2,2018,37.2,26.4,49.5,99.0,11.8,4,12.299999999999997,10.800000000000004
34,0,2010,95.2,91.1,97.5,232.0,3.0,1,2.299999999999997,4.1000000000000085
35,0,2000,73.5,64.2,81.2,135.0,8.6,4,7.700000000000003,9.299999999999997
36,0,2003,68.2,61.8,74.0,290.0,6.1,1,5.799999999999997,6.400000000000006
37,2,2011,77.8,62.2,88.2,57.0,13.1,5,10.400000000000006,15.599999999999994
38,0,2010,75.6,60.0,86.5,76.0,13.4,5,10.900000000000006,15.599999999999994
39,0,2009,95.9,91.6,98.1,307.0,3.0,1,2.1999999999999886,4.300000000000011
40,0,2002,82.7,76.7,87.4,278.0,5.3,1,4.700000000000003,6.0
41,2,2014,73.5,64.4,81.0,182.0,8.3,1,7.5,9.099999999999994
42,0,2002,90.3,82.4,94.9,232.0,6.0,5,4.6000000000000085,7.8999999999999915
43,0,2016,88.6,78.1,94.4,82.0,7.8,6,5.800000000000011,10.5
44,2,2018,59.8,48.9,69.8,108.0,10.6,5,10.0,10.899999999999999
45,2,2015,50.8,43.0,58.5,779.0,7.8,4,7.700000000000003,7.799999999999997
46,0,2003,35.5,30.3,41.1,440.0,5.4,6,5.600000000000001,5.199999999999999
47,3,2016,53.3,51.2,55.5,9522.0,2.1,1,2.200000000000003,2.0999999999999943
48,0,2006,92.5,90.3,94.2,1760.0,2.0,1,1.7000000000000028,2.200000000000003
49,0,2012,95.2,86.5,98.4,72.0,5.2,4,3.200000000000003,8.700000000000003
50,2,2014,58.7,53.6,63.6,1308.0,5.0,9,4.899999999999999,5.100000000000001
51,0,2002,79.0,73.6,83.5,554.0,5.0,1,4.5,5.400000000000006
52,0,2013,74.3,65.2,81.6,188.0,8.3,1,7.299999999999997,9.099999999999994
53,2,2011,47.9,44.1,51.7,1505.0,3.8,1,3.8000000000000043,3.799999999999997
54,0,2011,75.0,42.3,92.5,54.0,26.4,10,17.5,32.7
55,0,2006,75.6,65.1,83.8,173.0,9.4,3,8.200000000000003,10.5
56,0,2005,88.8,80.2,94.0,163.0,6.7,3,5.200000000000003,8.599999999999994
57,2,2013,16.4,11.6,22.5,292.0,5.4,3,6.100000000000001,4.799999999999999
58,0,2011,78.5,67.0,86.8,272.0,9.9,10,8.299999999999997,11.5
59,0,2008,88.7,74.8,95.4,70.0,9.7,3,6.700000000000003,13.900000000000006
60,0,2014,77.4,72.7,81.5,988.0,4.4,1,4.099999999999994,4.700000000000003
61,0,1999,59.3,42.2,74.4,46.0,16.7,5,15.100000000000009,17.099999999999994
63,0,1998,73.3,67.7,78.3,297.0,5.3,1,5.0,5.599999999999994
64,0,2010,54.2,48.9,59.4,1262.0,5.3,1,5.199999999999996,5.300000000000004
65,0,2014,66.4,59.1,73.0,294.0,7.0,1,6.599999999999994,7.300000000000004
66,0,2014,87.1,73.7,94.1,73.0,9.8,2,7.0,13.399999999999991
67,2,2018,13.0,7.6,21.4,177.0,6.8,4,8.399999999999999,5.4
69,0,2015,93.6,87.7,96.7,250.0,4.3,1,3.1000000000000085,5.8999999999999915
71,2,2010,39.5,31.1,48.7,191.0,8.9,5,9.200000000000003,8.399999999999999
72,1,2016,43.2,36.1,50.3,602.0,7.1,1,7.099999999999994,7.100000000000001
73,0,2003,92.0,85.7,95.7,179.0,4.8,10,3.700000000000003,6.299999999999997
74,0,2005,41.8,34.2,49.8,216.0,7.8,1,8.0,7.599999999999994
75,0,2006,59.3,40.3,75.9,35.0,18.5,4,16.60000000000001,19.0
76,0,2016,62.1,44.3,77.2,85.0,17.0,5,15.100000000000001,17.800000000000004
77,0,2000,76.2,70.9,80.8,342.0,5.0,1,4.599999999999994,5.299999999999997
78,1,2014,63.0,58.0,67.6,563.0,5.9,1,4.599999999999994,5.0
79,1,2016,37.6,26.0,50.7,133.0,15.7,7,13.100000000000001,11.600000000000001
80,0,2004,58.7,54.0,63.3,1454.0,4.7,1,4.599999999999994,4.700000000000003
81,0,2000,98.4,95.1,99.5,217.0,1.8,5,1.0999999999999943,3.3000000000000114
82,2,2016,60.3,37.3,79.5,64.0,22.5,11,19.200000000000003,23.0
83,0,2002,96.3,93.4,98.0,282.0,2.2,1,1.7000000000000028,2.8999999999999915
84,0,2013,98.1,92.6,99.6,45.0,2.6,12,1.5,5.5
86,0,2008,93.9,87.8,97.0,239.0,4.4,5,3.0999999999999943,6.1000000000000085
87,0,2007,98.0,86.4,99.7,34.0,4.0,2,1.7000000000000028,11.599999999999994
88,2,2010,67.8,59.8,75.0,200.0,7.7,1,7.200000000000003,8.0
89,0,1996,81.9,70.7,89.5,75.0,9.3,4,7.599999999999994,11.200000000000003
90,0,2014,62.0,47.2,74.8,85.0,14.1,5,12.799999999999997,14.799999999999997
91,0,2009,38.6,30.4,47.6,182.0,8.7,5,9.0,8.200000000000003
92,0,1995,73.7,67.9,78.7,421.0,5.4,4,5.0,5.799999999999997
93,0,2002,69.7,62.6,76.0,287.0,6.7,1,6.299999999999997,7.100000000000001
94,0,2000,63.3,51.7,73.6,118.0,11.1,3,10.299999999999997,11.599999999999994
95,2,2016,82.1,69.0,90.5,60.0,10.6,3,8.400000000000006,13.099999999999994
96,2,2017,84.9,68.7,93.5,42.0,12.0,3,8.599999999999994,16.200000000000003
97,0,2006,91.4,86.4,94.7,277.0,4.0,1,3.299999999999997,5.0
99,0,2007,33.6,21.9,47.8,60.0,13.2,3,14.199999999999996,11.700000000000003
100,0,2017,68.7,52.0,81.7,56.0,15.2,2,13.0,16.700000000000003
101,2,2013,87.2,71.2,94.9,31.0,11.3,5,7.700000000000003,16.0
102,0,2010,65.3,55.2,74.1,153.0,9.6,12,8.799999999999997,10.099999999999994
103,0,1998,78.7,76.0,81.1,1545.0,2.6,1,2.3999999999999915,2.700000000000003
104,0,2015,79.7,65.7,89.0,132.0,11.6,4,9.299999999999997,14.0
105,0,2016,39.6,32.3,47.4,267.0,7.6,4,7.799999999999997,7.300000000000004
106,0,2001,91.8,82.2,96.4,68.0,6.7,4,4.6000000000000085,9.599999999999994
107,0,2012,86.8,73.1,94.1,47.0,10.2,12,7.299999999999997,13.700000000000003
108,0,1995,53.4,36.9,69.3,40.0,16.8,4,15.899999999999999,16.5
109,0,2005,85.9,80.4,90.1,580.0,4.8,2,4.199999999999989,5.5
110,2,2012,23.7,13.8,37.5,57.0,11.9,4,13.8,9.899999999999999
111,2,2008,92.4,87.2,95.6,230.0,4.1,4,3.1999999999999886,5.200000000000003
112,0,2000,85.9,80.3,90.1,231.0,4.9,5,4.199999999999989,5.6000000000000085
113,0,2015,95.1,88.3,98.0,67.0,4.4,3,2.9000000000000057,6.799999999999997
114,0,1997,77.7,76.8,78.6,22902.0,0.9,1,0.8999999999999915,0.9000000000000057
115,0,2007,16.2,10.8,23.7,197.0,6.4,10,7.5,5.399999999999999
116,0,2003,76.5,72.7,79.9,1607.0,3.6,4,3.4000000000000057,3.799999999999997
117,3,2010,62.3,58.6,66.0,1149.0,3.7,1,3.700000000000003,3.6999999999999957
118,0,2014,91.3,87.4,94.0,466.0,3.2,1,2.700000000000003,3.8999999999999915
119,0,1999,74.1,67.6,79.7,287.0,6.1,5,5.6000000000000085,6.5
120,0,2005,89.0,82.7,93.1,307.0,5.1,3,4.099999999999994,6.299999999999997
122,0,2005,82.7,76.4,87.6,249.0,5.6,1,4.8999999999999915,6.299999999999997
123,0,2007,77.3,67.9,84.5,183.0,8.3,10,7.200000000000003,9.399999999999991
124,0,2006,67.9,60.9,74.1,285.0,6.7,1,6.199999999999989,7.000000000000007
126,0,2003,86.6,68.7,95.0,36.0,12.5,2,8.400000000000006,17.89999999999999
127,0,2000,92.1,89.5,94.1,1600.0,2.3,1,2.0,2.5999999999999943
128,0,2013,67.6,47.4,82.9,30.0,18.4,5,15.300000000000011,20.199999999999996
129,0,2008,91.0,82.7,95.5,100.0,6.1,6,4.5,8.299999999999997
130,0,2005,88.5,72.3,95.8,32.0,11.0,5,7.299999999999997,16.200000000000003
131,0,2007,74.3,59.3,85.1,91.0,13.1,4,10.799999999999997,15.0
132,0,2007,85.8,77.6,91.3,195.0,6.7,1,5.5,8.200000000000003
133,0,2003,80.9,75.1,85.6,293.0,5.2,1,4.699999999999989,5.800000000000011
134,0,2006,67.0,48.3,81.5,39.0,17.2,4,14.5,18.700000000000003
135,2,2015,60.1,54.9,65.1,1294.0,5.1,1,4.999999999999993,5.200000000000003
136,0,2000,97.0,92.8,98.8,221.0,2.7,2,1.7999999999999972,4.200000000000003
137,0,2015,95.9,90.2,98.3,257.0,3.7,2,2.3999999999999915,5.700000000000003
138,2,2012,92.2,87.3,95.3,216.0,3.9,1,3.0999999999999943,4.900000000000006
139,0,2002,84.0,71.2,91.8,63.0,10.1,10,7.799999999999997,12.799999999999997
140,0,1999,69.2,63.3,74.5,316.0,5.6,1,5.299999999999997,5.900000000000006
141,0,2011,98.3,96.4,99.2,1236.0,1.3,2,0.9000000000000057,1.8999999999999915
142,0,2012,97.5,94.9,98.8,525.0,1.8,2,1.2999999999999972,2.5999999999999943
143,0,2013,93.6,86.4,97.1,141.0,5.0,3,3.5,7.199999999999989
144,2,2015,39.5,30.3,49.5,143.0,9.7,5,10.0,9.2
145,3,2011,74.2,72.9,75.4,8159.0,1.3,7,1.2000000000000028,1.2999999999999972
146,0,1996,80.0,67.5,88.6,100.0,10.5,2,8.599999999999994,12.5
147,2,2014,49.7,43.1,56.3,364.0,6.6,9,6.599999999999994,6.600000000000001
148,0,2006,84.9,79.4,89.1,589.0,4.8,3,4.199999999999989,5.5
149,0,2016,84.3,69.2,92.8,65.0,11.6,8,8.5,15.099999999999994
150,0,2005,89.4,81.9,94.1,191.0,5.9,2,4.699999999999989,7.5
151,0,2008,95.6,74.4,99.4,40.0,8.5,3,3.8000000000000114,21.19999999999999
152,0,1998,97.4,90.1,99.4,64.0,3.6,5,2.0,7.300000000000011
153,0,2008,90.3,77.5,96.2,61.0,8.7,10,5.900000000000006,12.799999999999997
154,0,2009,91.5,75.9,97.3,53.0,9.6,2,5.799999999999997,15.599999999999994
155,0,2014,57.6,51.2,63.9,493.0,6.4,4,6.299999999999997,6.399999999999999
156,0,2004,80.5,74.0,85.7,302.0,5.8,4,5.200000000000003,6.5
157,0,2003,35.8,29.3,42.8,256.0,6.8,1,7.0,6.4999999999999964
158,0,2007,81.7,75.5,86.7,242.0,5.6,1,5.0,6.200000000000003
159,2,2010,38.5,30.0,47.6,148.0,8.9,3,9.100000000000001,8.5
160,0,2004,96.0,91.6,98.1,350.0,3.0,2,2.0999999999999943,4.400000000000006
161,0,2013,85.7,78.6,90.7,202.0,6.0,4,5.0,7.1000000000000085
163,0,2004,96.4,91.4,98.5,145.0,3.2,4,2.0999999999999943,5.0
164,0,2007,61.6,55.0,67.8,290.0,6.4,1,6.199999999999996,6.600000000000001
165,0,2009,55.3,47.7,62.5,254.0,7.4,12,7.200000000000003,7.599999999999994
166,0,1996,66.4,52.4,77.9,62.0,13.0,4,11.5,14.000000000000007
167,2,2013,45.7,28.5,64.1,33.0,18.6,1,18.39999999999999,17.200000000000003
168,0,2010,50.1,42.2,57.9,410.0,7.9,3,7.799999999999997,7.899999999999999
169,0,2016,83.2,76.3,88.3,226.0,6.0,4,5.099999999999994,6.900000000000006
171,0,2005,50.1,30.8,69.5,32.0,20.4,3,19.4,19.3
173,0,2004,88.9,83.7,92.7,626.0,4.4,1,3.799999999999997,5.200000000000003
174,0,2004,85.7,67.7,94.5,95.0,12.9,4,8.799999999999997,18.0
176,0,2004,83.7,75.2,89.7,162.0,7.2,2,6.0,8.5
177,2,2013,80.1,74.0,85.0,326.0,5.5,5,4.900000000000006,6.099999999999994
178,0,1995,52.7,46.4,58.8,424.0,6.2,1,6.099999999999994,6.300000000000004
179,0,2016,90.6,76.4,96.6,77.0,9.3,8,6.0,14.199999999999989
180,2,2012,19.1,14.7,24.6,681.0,5.0,1,5.5,4.400000000000002
181,0,2003,90.2,77.5,96.1,55.0,8.7,5,5.8999999999999915,12.700000000000003
183,0,2002,95.1,90.2,97.6,278.0,3.5,1,2.5,4.8999999999999915
184,0,2017,94.4,83.5,98.2,63.0,6.4,3,3.799999999999997,10.900000000000006
185,0,2017,81.7,69.1,89.9,70.0,10.3,12,8.200000000000003,12.600000000000009
187,2,2016,20.0,15.3,25.7,350.0,5.2,1,5.699999999999999,4.699999999999999
188,0,2010,86.6,72.4,94.1,58.0,10.5,10,7.5,14.199999999999989
189,0,2015,94.6,89.0,97.5,220.0,4.0,4,2.9000000000000057,5.599999999999994
190,0,2011,62.2,50.7,72.5,122.0,11.1,6,10.299999999999997,11.5
191,0,2008,88.0,82.9,91.8,269.0,4.4,1,3.799999999999997,5.099999999999994
192,0,2006,85.4,67.8,94.2,36.0,12.8,5,8.799999999999997,17.60000000000001
193,0,2006,62.1,58.4,65.6,1760.0,3.6,1,3.499999999999993,3.700000000000003
194,0,2003,85.9,80.0,90.3,336.0,5.1,3,4.3999999999999915,5.900000000000006
195,0,2014,68.6,50.6,82.4,56.0,16.3,4,13.800000000000011,17.999999999999993
196,0,1996,96.9,87.5,99.3,116.0,4.5,2,2.3999999999999915,9.400000000000006
197,0,2015,87.5,79.9,92.6,233.0,6.2,8,5.099999999999994,7.599999999999994
198,0,2011,87.1,71.1,94.9,31.0,11.3,2,7.800000000000011,16.0
199,0,2005,88.8,87.7,89.8,9697.0,1.0,6,1.0,1.0999999999999943
200,2,2017,97.0,91.5,99.0,269.0,3.2,5,2.0,5.5
201,0,2012,96.1,91.8,98.2,221.0,3.0,10,2.1000000000000085,4.299999999999997
202,2,2011,23.5,13.2,38.3,66.0,12.7,5,14.799999999999997,10.3
203,0,2012,85.6,68.8,94.2,56.0,12.2,5,8.600000000000009,16.799999999999997
204,2,2010,77.6,62.6,87.8,50.0,12.7,4,10.200000000000003,14.999999999999993
205,0,2016,69.3,62.3,75.4,1026.0,6.6,8,6.1000000000000085,7.0
206,0,1998,64.3,54.0,73.5,177.0,9.8,2,9.200000000000003,10.299999999999997
208,1,2016,69.9,63.8,76.0,858.0,6.1,1,6.099999999999994,6.1000000000000085
209,0,2009,69.8,54.9,81.4,54.0,13.5,2,11.600000000000009,14.899999999999999
211,0,2010,37.2,19.4,59.4,31.0,21.1,2,22.199999999999996,17.800000000000004
213,0,2016,65.8,51.4,77.8,60.0,13.5,3,12.0,14.399999999999999
214,3,2017,41.9,37.5,46.4,994.0,4.5,7,4.5,4.399999999999999
215,0,2008,78.3,65.8,87.1,64.0,10.7,5,8.799999999999997,12.5
216,2,2009,37.0,29.7,44.8,227.0,7.6,4,7.799999999999997,7.300000000000001
217,0,2017,93.8,88.5,96.7,172.0,3.9,5,2.9000000000000057,5.299999999999997
218,2,2013,82.0,59.6,93.4,37.0,16.6,3,11.400000000000006,22.4
219,0,2003,76.8,70.6,82.1,256.0,5.8,1,5.299999999999997,6.200000000000003
220,0,2008,76.0,59.2,87.3,48.0,14.2,5,11.299999999999997,16.799999999999997
221,0,2011,77.0,61.7,87.4,82.0,12.9,5,10.400000000000006,15.299999999999997
222,0,2000,90.7,76.7,96.7,176.0,9.2,5,6.0,14.0
223,2,2011,74.3,61.9,83.8,213.0,11.0,5,9.5,12.399999999999999
224,0,1999,57.7,50.2,64.8,278.0,7.4,1,7.099999999999994,7.5
225,0,2000,77.6,72.1,82.2,355.0,5.0,2,4.6000000000000085,5.5
226,0,2001,78.4,71.4,84.0,231.0,6.3,3,5.599999999999994,7.0
227,0,2007,30.5,23.6,38.5,260.0,7.5,1,8.0,6.899999999999999
228,0,2016,94.3,88.2,97.4,368.0,4.3,1,3.1000000000000085,6.099999999999994
229,0,2012,92.3,82.5,96.8,88.0,6.6,5,4.5,9.799999999999997
230,2,2011,24.5,17.0,34.0,126.0,8.5,3,9.5,7.5
232,0,2004,48.4,38.8,58.1,129.0,9.8,6,9.700000000000003,9.600000000000001
233,0,2005,91.8,86.5,95.2,186.0,4.2,2,3.4000000000000057,5.299999999999997
234,0,2011,72.7,62.7,80.9,118.0,9.2,5,8.200000000000003,10.0
235,0,2010,93.6,89.0,96.4,243.0,3.6,1,2.8000000000000114,4.599999999999994
236,0,1997,79.0,70.2,85.8,112.0,7.8,4,6.799999999999997,8.799999999999997
237,0,2007,75.5,68.6,81.4,210.0,6.4,5,5.900000000000006,6.900000000000006
238,0,2012,81.4,66.8,90.5,64.0,11.8,4,9.099999999999994,14.600000000000009
239,2,2016,89.3,87.3,91.0,2061.0,1.9,3,1.7000000000000028,2.0
