,vaxView,year,value,lowerLimit,upperLimit,sampleSize,confidenceInterval,demographicClass,upperError,lowerError
0,0.0,2001,92.2,0.8975453575240128,0.940021810250818,0.01528076978313945,0.07142857142857142,0.0,0.0727969348659006,0.055555555555555816
1,0.0,2003,77.3,0.6019210245464247,0.8691384950926937,0.0006893580353295993,0.4155844155844156,0.08333333333333333,0.39463601532567094,0.3647342995169082
2,0.0,2010,75.7,0.6776947705442903,0.801526717557252,0.008674421944564125,0.198051948051948,0.0,0.21839080459770124,0.15458937198067643
3,0.0,2017,76.9,0.7502668089647813,0.7666303162486369,0.3263535832256212,0.03571428571428571,0.16666666666666669,0.049808429118773825,0.019323671497584804
4,0.3333333333333333,2015,45.3,0.35325506937033085,0.4830970556161396,0.01237972138446072,0.21753246753246752,0.0,0.2643678160919542,0.1545893719806763
5,0.0,1997,70.3,0.5699039487726788,0.7829880043620502,0.0016085020824357318,0.33766233766233766,0.16666666666666669,0.36015325670498105,0.26811594202898553
6,0.0,1997,63.4,0.5240128068303095,0.6935659760087242,0.0026999856383742643,0.2727272727272727,0.25,0.31034482758620696,0.20531400966183572
7,0.0,1998,72.9,0.5987193169690502,0.8058887677208287,0.0013499928191871321,0.3279220779220779,0.25,0.34099616858237514,0.26570048309178756
8,0.6666666666666666,2015,19.1,0.12913553895410887,0.14394765539803708,0.11541002441476375,0.051948051948051945,0.0,0.07662835249042145,0.028985507246376874
9,0.0,2003,83.7,0.7011739594450374,0.9094874591057797,0.002728708889846331,0.3181818181818182,0.08333333333333333,0.29118773946360127,0.2946859903381643
10,0.0,2016,93.5,0.7801494130202774,0.9825517993456925,8.616975441619985e-05,0.2597402597402597,0.3333333333333333,0.17241379310344826,0.352657004830918
12,0.6666666666666666,2013,90.5,0.7620064034151548,0.9629225736095965,0.00043084877208099945,0.28571428571428575,0.25,0.21839080459770124,0.3212560386473429
13,0.0,1996,92.3,0.9082177161152615,0.9356597600872409,0.058940112020680745,0.04545454545454545,0.0,0.053639846743295236,0.03381642512077308
14,0.0,2016,41.8,0.3094983991462113,0.4558342420937841,0.006003159557661928,0.2467532467532467,0.16666666666666669,0.302681992337165,0.16908212560386474
15,0.6666666666666666,2016,13.0,0.07363927427961581,0.064340239912759,0.30975154387476667,0.01948051948051948,0.3333333333333333,0.03065134099616867,0.007246376811594259
17,0.6666666666666666,2013,23.9,0.12166488794023478,0.2748091603053435,0.0029872181530949306,0.2597402597402597,0.16666666666666669,0.3524904214559388,0.16183574879227058
18,0.0,2010,69.6,0.6157950907150481,0.7360959651035988,0.0075829383886255935,0.1948051948051948,0.0,0.22222222222222263,0.147342995169082
19,0.0,2006,86.4,0.6979722518676629,0.940021810250818,0.0006893580353295993,0.35714285714285715,0.16666666666666669,0.2950191570881227,0.3671497584541063
20,0.0,2015,94.6,0.7737459978655283,0.9890948745910579,0.00011489300588826657,0.2532467532467533,0.25,0.15325670498084343,0.3937198067632849
21,0.0,2005,84.8,0.7235859124866595,0.916030534351145,0.0014074393221312656,0.2922077922077922,0.3333333333333333,0.27203065134099647,0.2705314009661836
22,0.0,1999,17.4,0.08324439701173961,0.16357688113413307,0.008186126669538992,0.1525974025974026,0.16666666666666669,0.21072796934865914,0.09178743961352656
23,0.6666666666666666,2014,91.6,0.8452508004268944,0.9541984732824429,0.004595720235530662,0.1623376623376623,0.0,0.1455938697318012,0.15942028985507228
24,0.0,2014,92.6,0.8463180362860192,0.9640130861504908,0.003619129685480397,0.17207792207792205,0.4166666666666667,0.14176245210727978,0.18115942028985504
25,1.0,2017,66.9,0.4898612593383138,0.8135223555070884,0.0010053138015223323,0.5032467532467532,0.49999999999999994,0.5977011494252872,0.36714975845410647
27,0.0,2016,94.0,0.9381003201707578,0.945474372955289,0.31687491023983916,0.016233766233766232,0.5833333333333333,0.02298850574712676,0.007246376811594131
28,0.6666666666666666,2016,61.5,0.3585912486659552,0.7862595419847328,8.616975441619985e-05,0.7012987012987012,0.16666666666666669,0.7088122605363986,0.5338164251207729
29,0.0,2005,76.5,0.6937033084311633,0.8047982551799346,0.015596725549332184,0.17857142857142855,0.25,0.19923371647509586,0.1376811594202899
30,0.0,2001,67.7,0.5453575240128069,0.7546346782988006,0.001522332328019532,0.33441558441558444,0.25,0.36015325670498105,0.26086956521739135
31,0.0,2001,58.2,0.5560298826040555,0.5561613958560524,0.6782134137584375,0.01948051948051948,0.0,0.026819923371647614,0.0072463768115943045
32,0.0,2000,91.5,0.8932764140875133,0.9323882224645583,0.02378285221887118,0.06493506493506493,0.0,0.0727969348659006,0.048309178743961345
33,0.6666666666666666,2018,37.2,0.22838847385272143,0.45038167938931306,0.0019819043515725983,0.36688311688311687,0.25,0.4597701149425287,0.2415458937198069
34,0.0,2010,95.2,0.9188900747065101,0.9738276990185388,0.005802096797357461,0.08116883116883117,0.0,0.07662835249042145,0.07971014492753649
35,0.0,2000,73.5,0.6318036286019211,0.7960741548527809,0.0030159414045669974,0.262987012987013,0.25,0.28352490421455956,0.20531400966183572
36,0.0,2003,68.2,0.6061899679829242,0.717557251908397,0.007468045382737327,0.1818181818181818,0.0,0.210727969348659,0.13526570048309197
37,0.6666666666666666,2011,77.8,0.6104589114194238,0.8724100327153763,0.0007755277897457993,0.40909090909090906,0.3333333333333333,0.3869731800766287,0.35748792270531393
38,0.0,2010,75.6,0.5869797225186767,0.8538713195201745,0.0013212695677150654,0.41883116883116883,0.3333333333333333,0.406130268199234,0.35748792270531393
39,0.0,2009,95.9,0.9242262540021344,0.9803707742639041,0.007956340657762458,0.08116883116883117,0.0,0.07279693486590005,0.08454106280193269
40,0.0,2002,82.7,0.7652081109925294,0.8636859323882226,0.007123366365072526,0.1558441558441558,0.0,0.1685823754789274,0.12560386473429958
41,0.6666666666666666,2014,73.5,0.6339381003201708,0.7938931297709925,0.004365934223754129,0.2532467532467533,0.0,0.27586206896551735,0.20048309178743953
42,0.0,2002,90.3,0.8260405549626468,0.945474372955289,0.005802096797357461,0.17857142857142855,0.3333333333333333,0.16475095785440655,0.17149758454106262
43,0.0,2016,88.6,0.7801494130202774,0.940021810250818,0.0014936090765474653,0.23701298701298698,0.4166666666666667,0.21072796934865956,0.2342995169082126
44,0.6666666666666666,2018,59.8,0.4685165421558164,0.6717557251908397,0.002240413614821198,0.3279220779220779,0.3333333333333333,0.37164750957854414,0.24396135265700486
45,0.6666666666666666,2015,50.8,0.4055496264674493,0.5485278080697928,0.021513715352577914,0.23701298701298698,0.25,0.28352490421455956,0.16908212560386474
46,0.0,2003,35.5,0.2700106723585913,0.3587786259541985,0.011776533103547322,0.1590909090909091,0.4166666666666667,0.203065134099617,0.10628019323671499
47,1.0,2016,53.3,0.4930629669156884,0.5158124318429662,0.27264110297285654,0.051948051948051945,0.0,0.0727969348659006,0.03140096618357481
48,0.0,2006,92.5,0.9103521878335112,0.9378407851690296,0.04969122504667529,0.0487012987012987,0.0,0.053639846743295236,0.03381642512077308
49,0.0,2012,95.2,0.8697972251867663,0.9836423118865869,0.001206376561826799,0.1525974025974026,0.25,0.11111111111111133,0.19082125603864747
50,0.6666666666666666,2014,58.7,0.5186766275346852,0.6041439476553981,0.03670831538130116,0.1461038961038961,0.6666666666666666,0.17624521072796936,0.103864734299517
